Sl No,Name,Symbol
170,SHREE CEMENTS LIMITED,SHREECEM
171,SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN
172,SIEMENS LTD,SIEMENS
173,SINTEX INDUSTRIES LTD,SINTEX
174,SREI INFRASTRUCTURE FINANCE LIMITED,SREINFRA
175,SRF LTD,SRF
176,STATE BANK OF INDIA,SBIN
177,STEEL AUTHORITY OF INDIA,SAIL
178,STRIDES SHASUN LIMITED,STAR
179,SUN PHARMACEUTICALS IND.,SUNPHARMA
180,SUN TV NETWORK LIMITED,SUNTV
181,SUZLON ENERGY LIMITED,SUZLON
182,SYNDICATE BANK,SYNDIBANK
183,TATA CHEMICALS LTD,TATACHEM
184,TATA COMMUNICATIONS LTD,TATACOMM
185,TATA CONSULTANCY SERV LT,TCS
186,TATA ELXSI LIMITED,TATAELXSI
187,TATA GLOBAL BEVERAGES LTD,TATAGLOBAL
188,TATA MOTORS DVR 'A' ORD,TATAMTRDVR
189,TATA MOTORS LIMITED,TATAMOTORS
190,TATA POWER CO LTD,TATAPOWER
191,TATA STEEL LIMITED,TATASTEEL
192,TECH MAHINDRA LIMITED,TECHM
193,THE INDIA CEMENTS LIMITED,INDIACEM
194,THE RAMCO CEMENTS LIMITED,RAMCOCEM
195,THE SOUTH INDIAN BANK LTD,SOUTHBANK
196,TITAN COMPANY LIMITED,TITAN
197,TORRENT PHARMACEUTICALS L,TORNTPHARM
198,TORRENT POWER LTD,TORNTPOWER
199,TV18 BROADCAST LIMITED,TV18BRDCST
200,TVS MOTOR COMPANY LTD,TVSMOTOR
201,UJJIVAN FINANCIAL SERVICES LIMITED,UJJIVAN
202,ULTRATECH CEMENT LIMITED,ULTRACEMCO
203,UNION BANK OF INDIA,UNIONBANK
204,UNITED BREWERIES LTD,UBL
205,UNITED SPIRITS LIMITED,MCDOWELL-N
206,UPL LIMITED,UPL
207,VEDANTA LIMITED,VEDL
208,V-GUARD INDUSTRIES LIMITED,VGUARD
209,VOLTAS LTD,VOLTAS
210,WIPRO LTD,WIPRO
211,WOCKHARDT LIMITED,WOCKPHARMA
212,YES BANK LIMITED,YESBANK
213,ZEE ENTERTAINMENT ENT LTD,ZEEL
